Date_and_Time;In_Motorcycle;In_Car;In_BusTruck;In_Total;In_PCE;In_Velocity;In_VCRatio;Out_Motorcycle;Out_Car;Out_BusTruck;Out_Total;Out_PCE;Out_Velocity;Out_VCRatio;Total_Motorcycle;Total_Car;Total_BusTruck;Total_Total;Total_PCE;Total_Velocity;Total_VCRatio
2023-01-04 21:00;;;;;;;;1.749;333;27;2.109;805;17,3;0,11 ;1.749;333;27;2.109;805;17,3;0,11 
2023-01-04 22:00;0;0;0;0;0;;0,00 ;1.349;245;15;1.609;602;18,2;0,08 ;1.349;245;15;1.609;602;18,2;0,04 
2023-01-04 23:00;0;0;0;0;0;;0,00 ;824;152;3;979;362;19,0;0,05 ;824;152;3;979;362;19,0;0,03 
2023-01-05 00:00;956;260;31;1.247;539;20,1;0,08 ;532;132;2;666;268;19,4;0,04 ;1.488;392;33;1.913;807;19,5;0,06 
2023-01-05 01:00;4.313;1.635;109;6.057;2.855;23,1;0,40 ;311;105;4;420;188;17,7;0,03 ;4.624;1.740;113;6.477;3.043;20,4;0,21 
2023-01-05 02:00;2.728;1.612;183;4.523;2.532;25,8;0,36 ;199;67;0;266;117;20,9;0,02 ;2.927;1.679;183;4.789;2.649;23,3;0,19 
2023-01-05 03:00;3.013;1.484;128;4.625;2.404;27,6;0,34 ;210;81;4;295;139;21,2;0,02 ;3.223;1.565;132;4.920;2.542;24,5;0,18 
2023-01-05 04:00;3.255;1.302;159;4.716;2.322;24,5;0,33 ;224;75;4;303;136;21,8;0,02 ;3.479;1.377;163;5.019;2.459;23,2;0,17 
2023-01-05 05:00;2.700;1.246;220;4.166;2.207;28,7;0,31 ;602;109;22;733;288;22,3;0,04 ;3.302;1.355;242;4.899;2.495;25,5;0,18 
2023-01-05 06:00;135;81;11;227;129;23,6;0,02 ;1.516;192;51;1.759;637;21,7;0,09 ;1.651;273;62;1.986;766;21,8;0,05 
2023-01-05 07:00;;;;;;;;3.031;350;32;3.413;1.149;19,8;0,16 ;3.031;350;32;3.413;1.149;19,8;0,16 
2023-01-05 08:00;0;0;0;0;0;;0,00 ;3.590;416;35;4.041;1.359;19,2;0,19 ;3.590;416;35;4.041;1.359;19,2;0,10 
2023-01-05 09:00;1.149;351;16;1.516;659;27,7;0,09 ;3.038;389;46;3.473;1.208;19,3;0,17 ;4.187;740;62;4.989;1.867;22,2;0,13 
2023-01-05 10:00;5.618;1.188;123;6.929;2.752;22,7;0,39 ;2.610;452;34;3.096;1.149;19,0;0,16 ;8.228;1.640;157;10.025;3.901;20,8;0,27 
2023-01-05 11:00;2.304;828;59;3.191;1.481;26,1;0,21 ;2.830;476;39;3.345;1.234;18,7;0,17 ;5.134;1.304;98;6.536;2.715;22,2;0,19 
2023-01-05 12:00;1.485;708;22;2.215;1.108;26,7;0,16 ;2.754;585;27;3.366;1.309;18,2;0,18 ;4.239;1.293;49;5.581;2.416;21,9;0,17 
2023-01-05 13:00;1.641;842;57;2.540;1.326;23,6;0,19 ;2.859;457;36;3.352;1.219;16,9;0,17 ;4.500;1.299;93;5.892;2.545;20,2;0,18 
2023-01-05 14:00;1.456;655;82;2.193;1.126;14,3;0,16 ;2.953;591;32;3.576;1.371;15,5;0,19 ;4.409;1.246;114;5.769;2.496;15,1;0,18 
2023-01-05 15:00;918;288;17;1.223;540;23,8;0,08 ;2.657;477;35;3.169;1.187;15,3;0,17 ;3.575;765;52;4.392;1.726;16,9;0,12 
2023-01-05 16:00;200;42;1;243;93;20,6;0,01 ;3.367;493;56;3.916;1.408;15,8;0,20 ;3.567;535;57;4.159;1.501;16,3;0,11 
2023-01-05 17:00;241;56;3;300;120;27,2;0,02 ;4.161;372;55;4.588;1.484;15,8;0,21 ;4.402;428;58;4.888;1.604;17,3;0,11 
2023-01-05 18:00;460;79;12;551;210;25,5;0,03 ;3.381;423;37;3.841;1.316;16,3;0,19 ;3.841;502;49;4.392;1.526;17,5;0,11 
2023-01-05 19:00;2.349;540;33;2.922;1.170;25,9;0,16 ;2.923;365;38;3.326;1.145;16,1;0,16 ;5.272;905;71;6.248;2.315;19,7;0,16 
2023-01-05 20:00;947;302;12;1.261;554;26,5;0,08 ;1.479;201;25;1.705;603;16,3;0,08 ;2.426;503;37;2.966;1.158;19,2;0,08 
2023-01-05 21:00;1.908;354;5;2.267;838;25,9;0,12 ;2.077;343;27;2.447;897;17,8;0,13 ;3.985;697;32;4.714;1.735;20,4;0,12 
2023-01-05 22:00;3.773;649;30;4.452;1.631;29,5;0,23 ;1.612;325;14;1.951;746;18,9;0,11 ;5.385;974;44;6.403;2.377;24,2;0,17 
2023-01-05 23:00;3.252;963;72;4.287;1.870;30,7;0,26 ;1.206;183;1;1.390;486;16,9;0,07 ;4.458;1.146;73;5.677;2.355;23,8;0,17 
2023-01-06 00:00;3.273;1.147;400;4.820;2.485;18,6;0,35 ;988;100;0;1.088;347;17,7;0,05 ;4.261;1.247;400;5.908;2.832;18,1;0,20 
2023-01-06 01:00;4.597;1.635;435;6.667;3.350;18,9;0,47 ;776;53;0;829;247;15,7;0,03 ;5.373;1.688;435;7.496;3.597;17,3;0,25 
2023-01-06 02:00;5.121;795;143;6.059;2.261;27,6;0,32 ;403;59;2;464;162;18,7;0,02 ;5.524;854;145;6.523;2.424;22,9;0,17 
2023-01-06 03:00;665;454;109;1.228;762;30,7;0,11 ;291;101;3;395;178;21,5;0,03 ;956;555;112;1.623;940;25,0;0,07 
2023-01-06 04:00;4.525;1.441;338;6.304;3.012;20,9;0,42 ;255;75;4;334;144;22,9;0,02 ;4.780;1.516;342;6.638;3.156;21,9;0,22 
2023-01-06 05:00;6.261;773;149;7.183;2.532;27,9;0,36 ;710;124;33;867;344;23,2;0,05 ;6.971;897;182;8.050;2.876;25,5;0,20 
2023-01-06 06:00;6.676;576;105;7.357;2.382;20,3;0,34 ;1.581;243;45;1.869;697;22,5;0,10 ;8.257;819;150;9.226;3.078;21,4;0,22 
2023-01-06 07:00;6.068;868;153;7.089;2.584;22,2;0,36 ;3.168;307;47;3.522;1.160;20,0;0,16 ;9.236;1.175;200;10.611;3.744;21,1;0,26 
2023-01-06 08:00;3.982;817;105;4.904;1.949;26,3;0,27 ;3.471;369;43;3.883;1.293;19,0;0,18 ;7.453;1.186;148;8.787;3.242;22,5;0,23 
2023-01-06 09:00;1.948;644;47;2.639;1.192;28,0;0,17 ;2.812;378;47;3.237;1.142;19,2;0,16 ;4.760;1.022;94;5.876;2.334;23,2;0,16 
2023-01-06 10:00;1.882;778;39;2.699;1.299;25,0;0,18 ;2.810;438;35;3.283;1.186;18,4;0,17 ;4.692;1.216;74;5.982;2.485;21,6;0,17 
2023-01-06 11:00;1.433;692;65;2.190;1.135;27,0;0,16 ;2.921;520;34;3.475;1.294;18,6;0,18 ;4.354;1.212;99;5.665;2.429;22,5;0,17 
2023-01-06 12:00;979;510;33;1.522;798;29,4;0,11 ;2.394;434;25;2.853;1.065;18,5;0,15 ;3.373;944;58;4.375;1.863;23,5;0,13 
2023-01-06 13:00;1.297;584;35;1.916;954;27,4;0,13 ;3.129;564;42;3.735;1.401;16,3;0,20 ;4.426;1.148;77;5.651;2.355;21,3;0,17 
2023-01-06 14:00;1.516;687;48;2.251;1.128;22,2;0,16 ;3.007;470;38;3.515;1.271;17,2;0,18 ;4.523;1.157;86;5.766;2.400;19,4;0,17 
2023-01-06 15:00;1.619;719;48;2.386;1.186;23,6;0,17 ;3.142;480;38;3.660;1.315;19,0;0,19 ;4.761;1.199;86;6.046;2.501;21,2;0,18 
2023-01-06 16:00;1.863;701;56;2.620;1.240;22,2;0,17 ;3.572;389;54;4.015;1.352;16,4;0,19 ;5.435;1.090;110;6.635;2.592;19,1;0,18 
2023-01-06 17:00;2.170;644;52;2.866;1.254;21,9;0,18 ;4.152;409;45;4.606;1.506;16,4;0,21 ;6.322;1.053;97;7.472;2.760;19,0;0,19 
2023-01-06 18:00;1.965;702;71;2.738;1.286;16,9;0,18 ;3.437;381;36;3.854;1.287;15,9;0,18 ;5.402;1.083;107;6.592;2.573;16,3;0,18 
2023-01-06 19:00;2.282;688;92;3.062;1.378;20,6;0,19 ;3.190;398;34;3.622;1.240;16,5;0,17 ;5.472;1.086;126;6.684;2.618;18,5;0,18 
2023-01-06 20:00;1.888;697;50;2.635;1.234;20,9;0,17 ;2.579;319;33;2.931;1.007;15,7;0,14 ;4.467;1.016;83;5.566;2.241;18,3;0,16 
2023-01-06 21:00;1.868;788;40;2.696;1.307;24,3;0,18 ;2.480;411;19;2.910;1.056;16,5;0,15 ;4.348;1.199;59;5.606;2.363;20,4;0,17 
2023-01-06 22:00;2.052;846;39;2.937;1.410;23,2;0,20 ;2.272;375;17;2.664;965;17,4;0,14 ;4.324;1.221;56;5.601;2.375;20,3;0,17 
2023-01-06 23:00;1.560;508;20;2.088;924;28,7;0,13 ;1.672;274;5;1.951;699;19,0;0,10 ;3.232;782;25;4.039;1.623;23,9;0,11 
2023-01-07 00:00;1.420;437;14;1.871;810;30,6;0,11 ;1.401;216;3;1.620;570;20,8;0,08 ;2.821;653;17;3.491;1.380;25,7;0,10 
2023-01-07 01:00;1.263;329;7;1.599;654;33,1;0,09 ;1.362;186;4;1.552;532;23,3;0,07 ;2.625;515;11;3.151;1.186;28,2;0,08 
2023-01-07 02:00;630;244;30;904;441;34,1;0,06 ;681;131;2;814;304;22,5;0,04 ;1.311;375;32;1.718;744;28,4;0,05 
2023-01-07 03:00;402;206;38;646;356;34,2;0,05 ;466;144;6;616;268;21,3;0,04 ;868;350;44;1.262;624;27,6;0,04 
2023-01-07 04:00;284;185;32;501;298;35,7;0,04 ;347;136;10;493;236;23,5;0,03 ;631;321;42;994;533;29,5;0,04 
2023-01-07 05:00;329;231;28;588;350;36,1;0,05 ;625;168;24;817;355;22,7;0,05 ;954;399;52;1.405;705;29,3;0,05 
2023-01-07 06:00;663;300;30;993;505;34,1;0,07 ;1.097;148;28;1.273;459;22,3;0,06 ;1.760;448;58;2.266;963;28,3;0,07 
2023-01-07 07:00;1.021;436;47;1.504;752;32,6;0,11 ;1.562;168;43;1.773;614;21,2;0,09 ;2.583;604;90;3.277;1.367;26,9;0,10 
2023-01-07 08:00;1.089;476;48;1.613;811;32,9;0,11 ;1.691;204;35;1.930;672;20,4;0,09 ;2.780;680;83;3.543;1.483;26,6;0,10 
2023-01-07 09:00;1.041;495;24;1.560;786;31,8;0,11 ;1.843;263;41;2.147;777;19,6;0,11 ;2.884;758;65;3.707;1.564;25,7;0,11 
2023-01-07 10:00;1.042;585;38;1.665;895;30,5;0,13 ;1.896;282;47;2.225;817;17,7;0,12 ;2.938;867;85;3.890;1.712;24,1;0,12 
2023-01-07 11:00;1.132;654;29;1.815;975;29,9;0,14 ;2.168;390;44;2.602;989;18,2;0,14 ;3.300;1.044;73;4.417;1.964;24,0;0,14 
2023-01-07 12:00;1.026;548;26;1.600;838;30,1;0,12 ;2.180;472;39;2.691;1.068;17,0;0,15 ;3.206;1.020;65;4.291;1.906;23,4;0,13 
2023-01-07 13:00;931;463;19;1.413;720;30,7;0,10 ;1.887;382;20;2.289;880;16,9;0,12 ;2.818;845;39;3.702;1.600;23,9;0,11 
2023-01-07 14:00;1.019;530;24;1.573;816;29,4;0,11 ;2.133;402;28;2.563;972;16,6;0,14 ;3.152;932;52;4.136;1.788;22,9;0,13 
2023-01-07 15:00;1.250;600;25;1.875;945;30,2;0,13 ;2.603;466;35;3.104;1.162;17,0;0,16 ;3.853;1.066;60;4.979;2.107;23,6;0,15 
2023-01-07 16:00;1.176;565;22;1.763;888;28,9;0,12 ;2.666;464;37;3.167;1.179;16,1;0,17 ;3.842;1.029;59;4.930;2.066;22,5;0,15 
2023-01-07 17:00;1.222;590;13;1.825;912;27,7;0,13 ;2.477;422;36;2.935;1.088;16,2;0,15 ;3.699;1.012;49;4.760;2.000;22,0;0,14 
2023-01-07 18:00;1.134;546;17;1.697;852;28,0;0,12 ;2.312;381;36;2.729;1.006;15,6;0,14 ;3.446;927;53;4.426;1.857;21,8;0,13 
2023-01-07 19:00;1.682;731;8;2.421;1.162;26,4;0,16 ;2.913;436;28;3.377;1.201;13,9;0,17 ;4.595;1.167;36;5.798;2.363;20,1;0,17 
2023-01-07 20:00;2.002;806;14;2.822;1.325;25,4;0,19 ;3.175;434;19;3.628;1.252;14,3;0,18 ;5.177;1.240;33;6.450;2.577;19,8;0,18 
